date	edited_by	job	researched_by	source	state	statement	subjects	truth
2012-03-14	Martha M. Hamilton	Republican	Molly Moorhead	Newt Gingrich	Georgia	"Obama's secretary of energy, Dr. Steven Chu, ""has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon."""	['Gas Prices']	4
2012-03-14	Greg Borowski		Dave Umhoefer	Kathleen Falk		Says Gov. Scott Walker cut aid to local schools despite campaigning on trying to restore two-thirds state funding for education	['Education', 'State Budget']	4
2012-03-14	Robert Higgs	Democrat	Henry J.  Gomez	Ohio Democratic Party	Ohio	"There are ""850,000 Ohio jobs tied to the auto industry."""	['Economy', 'Elections', 'Jobs']	5
2012-03-14	Elizabeth Miniet, Jim Tharpe	Republican	Willoughby Mariano	Johnny Isakson	Georgia	"The ""Democrat majority in the Senate has failed to submit [a] budget in the past 1,000 days."""	['Federal Budget']	2
2012-03-14	Dee Lane	Republican	Janie Har	Chris Telfer	Oregon	"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending."""	['State Budget', 'State Finances']	0
2012-03-13	W. Gardner Selby	Democrat	Sue Owen	Paul Sadler	Texas	Says there are four super PACs on the Republican side of the Texas U.S. Senate race.	['Campaign Finance']	5
2012-03-13	Martha M. Hamilton	Republican	Louis Jacobson	Rick Santorum	Pennsylvania	"President Barack Obama’s policies have forced ""many parts of the country to experience rolling blackouts."""	['Energy']	0
2012-03-13	Robert Higgs	Democrat	Tom Feran	Kathleen Clyde	Ohio	"""Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV."""	['Elections']	5
2012-03-13	Elizabeth Miniet, Jim Tharpe	Democrat	Willoughby Mariano	Hank Johnson	Georgia	"""In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations."""	['Campaign Finance']	5
2012-03-12	Martha M. Hamilton	Democrat	Molly Moorhead	Shaun  Donovan	New York	"""It costs about $40,000 a year for a homeless person to be on the streets."""	['Poverty']	4
2012-03-12	Greg Borowski	Democrat	Tom Kertscher	Cory Mason	Wisconsin	"Says Wisconsin Assembly Republicans voted to repeal a law that ensures ""that women cannot get paid less than a man for doing the same job."""	['Civil Rights', 'Income', 'Jobs', 'Legal Issues', 'Women', 'Workers']	2
2012-03-12	Caryn Shinske		Erin O'Neill	Rush Holt		"""A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage."""	['Health Care', 'Women']	4
2012-03-12	Warren Fiske	Republican	Sean Gorman	Bob McDonnell	Virginia	"""Seven out of the 10 states with the lowest unemployment rates (have) Republican governors … That approach that Republicans are using is working."""	['Economy', 'Job Accomplishments', 'Jobs']	3
2012-03-12	Leroy Chapman, Jim Tharpe	Democrat	Eric Stirgus	Ted Jackson	Georgia	"Georgia ranks ""last in job growth."""	['Jobs']	4
2012-03-11	Greg Borowski	Republican	Dave Umhoefer	Scott Walker	Wisconsin	"Says 94 percent of Wisconsin employers think the state ""is heading in the right direction"" and a majority say they will ""grow their companies in 2012."""	['Economy', 'Job Accomplishments', 'Jobs']	3
2012-03-11	Caryn Shinske		Bill Wichert	Steve Rothman		"""They're paying a less rate of tax -- these richest people in America -- than they have in the last 80 years."""	['Taxes', 'Wealth']	4
2012-03-11	W. Gardner Selby	Republican	Meghan Ashford-Grooms	Rick Perry	Texas	"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent."""	['Economy', 'Jobs']	4
2012-03-11	Tim Murphy	Republican	Edward Fitzpatrick	Stephen Laffey	Colorado	Giant companies like Toyota will not locate in a state that has not passed a right-to-work law	['Corporations', 'Economy', 'Jobs', 'Labor', 'Unions']	1
2012-03-09	Angie Drobnic Holan	Republican	Katie Sanders	Rick Scott	Florida	"PIP fraud is ""$1 billion in fraud."""	['States', 'Transportation']	3
2012-03-09	Dee Lane	Democrat	Ian K. Kullgren	Sam Adams	Oregon	"Says ""traffic fatalities have fallen dramatically, even as population has risen. You are more likely to stay alive biking, walking and driving around Portland than you were before"" he took over the Portland Bureau of Transportation."	['Transportation']	3
2012-03-09	Warren Fiske	Republican	Nancy  Madsen	George Allen	Virginia	"Says he ""cut taxes by more than $600 million"" when he was governor."	['Job Accomplishments', 'State Budget', 'Taxes']	5
2012-03-09	Caryn Shinske		Erin O'Neill	Wayne DeAngelo		"""If we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in New Jersey."""	['Poverty', 'Workers']	5
2012-03-09	Jim  Denery, Jim Tharpe	Democrat	Willoughby Mariano	Hank Johnson	Georgia	"A socially conservative group sponsored a ""prayer vigil"" to stop people from buying Girl Scout cookies because it thinks the Girl Scouts are affiliated with Planned Parenthood."	['Abortion', 'Families', 'Religion', 'Women']	2
2012-03-08	Aaron Sharockman	Republican	Angie Drobnic Holan	Lenny Curry	Florida	"Says Barack Obama ""promised"" gasoline at $2.50 a gallon."	['Energy', 'Gas Prices', 'Transportation']	1
2012-03-08	Aaron Sharockman	Republican	Angie Drobnic Holan	Lenny Curry	Florida	"Says Barack Obama ""promised he would cut the deficit in half"" but didn’t."	['Federal Budget']	5
2012-03-08	Robert Higgs	Republican	Reginald Fields, Louis Jacobson	Mike DeWine	Ohio	"""The fact is 90-percent of Down Syndrome children were aborted in this country."""	['Abortion', 'Health Care']	2
2012-03-08	Martha M. Hamilton	Republican	Louis Jacobson	Rick Santorum	Pennsylvania	"After President Barack Obama’s health care law takes full effect, ""100 percent"" of Americans will ""depend on some form of federal payment, some form of government benefit to help provide for them."""	['Children', 'Families', 'Health Care', 'Medicaid', 'Medicare']	1
2012-03-08	Martha M. Hamilton	Republican	Louis Jacobson	Rick Santorum	Pennsylvania	"""A little less than 50 percent of the people in this country depend on some form of federal payment, some form of government benefit to help provide for them."""	['Children', 'Families', 'Federal Budget', 'Medicaid', 'Medicare', 'Social Security', 'Veterans']	4
2012-03-08	Warren Fiske	Democrat	Nancy  Madsen	Gerry Connolly	Virginia	"Says Obama has ""doubled the stock market from where we started when he was sworn into office"""	['Bush Administration', 'Economy', 'Jobs', 'Stimulus']	2
2012-03-08	Greg Borowski		Tom Kertscher	Kathleen Falk		"Says Wisconsin Gov. Scott Walker doesn't make his calendar public -- ""he's on our dime and we don't know where he is."""	['Transparency']	3
2012-03-08	Caryn Shinske	Republican	Bill Wichert	Chris Christie	New Jersey	"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office."""	['State Budget']	5
2012-03-07	Angie Drobnic Holan	Republican	Katie Sanders	Rick Scott	Florida	"""Today, you can't rely on (the retirement fund for public employees), it's not funded."""	['Retirement', 'State Budget', 'Workers']	1
2012-03-07	Martha M. Hamilton		Louis Jacobson	David Axelrod		"""Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined."""	['Elections']	1
2012-03-07	Martha M. Hamilton	Republican	Louis Jacobson	Mitt Romney	Massachusetts	"Ronald Reagan’s philosophy of ""peace through strength"" is why ""the Iranians released the hostages on the same day and at the same hour that Reagan was sworn in."""	['Foreign Policy', 'History']	0
2012-03-07	Martha M. Hamilton	Republican	Becky Bowers	Rick Santorum	Pennsylvania	"""If you look up the dictionary definition of happiness at the time of our founders … happiness was not doing what you want to do but doing what you ought to do."""	['History']	2
2012-03-07	Martha M. Hamilton	Republican	Molly Moorhead	Rick Santorum	Pennsylvania	"Says the federal government ""tells health insurance companies how much money they're allowed to keep of what they receive in revenues -- 15 percent."""	['Health Care']	3
2012-03-07	Caryn Shinske	Republican	Bill Wichert	Gary Chiusano	New Jersey	"Says pension contributions under Gov. Chris Christie would represent ""75 percent of the total contribution made between the years 1995 and 2010. That's right, in 15 years, total state contribution was only $2.1 billion."""	['Retirement', 'State Budget']	1
2012-03-07	John Bridges	Democrat	W. Gardner Selby	Silvestre Reyes	Texas	"Says opponent Beto O’Rourke ""wants to legalize drugs."""	['Drugs', 'Marijuana', 'Message Machine 2012']	3
2012-03-07	Jim  Denery, Jim Tharpe	Libertarian	Eric Stirgus	Gary Johnson	New Mexico	"""Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs."""	['Drugs', 'Marijuana']	4
2012-03-07	Tim Murphy	Republican	Alex Kuffner	Glenford Shibley	Rhode Island	"""Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed."""	['Education', 'Guns', 'Public Safety', 'States']	4
2012-03-07	Dee Lane	Democrat	Charles Pope	Ron Wyden	Oregon	"""Between 1982 and 2007 the cost of a college education increased 439 percent."""	['Education']	5
2012-03-06	Martha M. Hamilton	Republican	Louis Jacobson	Rick Santorum	Pennsylvania	"""When my grandfather came to this country back in 1925, there were no government benefits."""	['City Budget', 'County Budget', 'Families', 'Federal Budget', 'History', 'Pensions', 'Poverty', 'Retirement', 'State Budget', 'Veterans', 'Welfare', 'Workers']	1
2012-03-06	Angie Drobnic Holan	Republican	Amy Sherman	George LeMieux	Florida	"Connie Mack's ""only real job in the real world"" was as ""‘events coordinator’ for Hooters!"""	['Candidate Biography']	2
2012-03-06	Jim  Denery, Jim Tharpe	None	Willoughby Mariano	Pat Stevens	Georgia	"The Atlanta area’s water planning district ""is now the national leader in conservation."""	['Environment']	2
2012-03-06	Robert Higgs	Republican	Sabrina  Eaton	Jim Renacci	Ohio	"""The top 1 percent (of income earners) paid 36.7 percent (of the taxes).  ... The top 50 percent pay 97.7 percent."""	['Income', 'Taxes']	5
2012-03-05	Martha M. Hamilton	Republican	Molly Moorhead	Mitt Romney	Massachusetts	"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt."""	['Deficit']	0
2012-03-05	Greg Borowski	Republican	Tom Kertscher	Scott Walker	Wisconsin	"Wisconsin is called the Badger State because ""our ancestors came here with the hopes of living the American dream by mining."""	['Environment', 'History', 'Jobs']	5
2012-03-05	Caryn Shinske		Bill Wichert	Michael Doherty		"Says State Comptroller Matthew Boxer ""pointed out that many towns are artificially lowering the real estate values that they report to Trenton"" in order to ""get hundreds of millions of dollars of additional school aid. This is the kind of fraud that needs to be addressed immediately."""	['Education', 'Taxes']	2
2012-03-05	Warren Fiske	Republican	Sean Gorman	Bob McDonnell	Virginia	"President Obama's ""budget would call for about $25 trillion in debt by the end of his term, if he was re-elected."""	['Deficit', 'Federal Budget']	2
2012-03-05	Robert Higgs	Democrat	Tom Feran	Marcy Kaptur	Ohio	"""When (Marcy) Kaptur fought for the Democrats' prescription drug benefit for seniors, (Dennis) Kucinich voted no."""	['Health Care', 'Message Machine 2012', 'Voting Record']	1
2012-03-05	John Bridges	Republican	W. Gardner Selby	David Dewhurst	Texas	"Says Ted Cruz slurred Republican senators including John Cornyn as ""graybeards"" and ""spineless jellyfish."""	['Candidate Biography', 'Congress']	3
2012-03-05	Jim  Denery, Jim Tharpe	Republican	Eric Stirgus	Charlotte Nash	Georgia	"""[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties."""	['Economy', 'Jobs']	4
2012-03-04	Bridget Hall Grumet	Republican	Jeffrey S.  Solochek	Heather Fiorentino	Florida	"Pasco County ""opened 22 new schools over six years to keep pace with growth in student population and implement the class size amendment."""	['Education']	3
2012-03-04	Bridget Hall Grumet	Republican	Jeffrey S.  Solochek	Heather Fiorentino	Florida	"Pasco County schools have graduation rates ""substantially higher than the state average"" and dropout rates ""below the state average."""	['Education']	5
2012-03-04	Greg Borowski	Democrat	Dave Umhoefer	Christine Sinicki	Wisconsin	"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said ""he didn’t believe women belonged in the workplace"" but belonged ""at home, cooking and cleaning and having babies."""	['Jobs', 'Legal Issues', 'Women']	1
2012-03-04	Caryn Shinske	Republican	Erin O'Neill	Chris Christie	New Jersey	"Says ""we had to cut 13 billion dollars in state spending over two years."""	['Deficit', 'State Budget', 'State Finances']	1
2012-03-04	Zack McMillin	Republican	Richard Locker	Bill Haslam	Tennessee	"""In 2011, there were more than 28,000 new Tennessee jobs created and over $4 billion in capital investment. Our Jobs4TN plan is working."""	['Economy', 'Jobs']	3
2012-03-04	Tim Murphy	Democrat	C. Eugene Emery Jr.	Beatrice Lanzi	Rhode Island	"""One out of four of our young people say they are victims of this (dating) violence."""	['Criminal Justice', 'Human Rights', 'Women']	3
2012-03-03	Jim  Denery, Jim Tharpe	Republican	Eric Stirgus	Rick Santorum	Pennsylvania	"""[R]emember, the president proposed eliminating charitable deductions for higher-income taxpayers."""	['Taxes']	1
2012-03-02	Dee Lane	Democrat	Ian K. Kullgren	Laurie Monnes Anderson	Oregon	"""In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law."""	['Children']	5
